类别,连接器,脚位,网络,RA8P1/来源,默认状态,说明
电机,J_MOTOR3,4,MOTOR3_STEP_5V,P502默认/P304共用备选,低,0欧二选一
电机,J_MOTOR3,5,GND,GND,,兼容旧板
电机,J_MOTOR3,6,5V_LOGIC_OPTION,5V_LOGIC经0R/DNP,悬空,旧线束原空脚，确认驱动器后焊
电机,J_MOTOR3,7,GND,GND,,兼容旧板
电机,J_MOTOR3,8,12V_MOTOR,12V输入,,兼容旧板
电机,J_MOTOR4,1,MOTOR4_EN_N_5V_OPTION,P911经AHCT244和0R/DNP,悬空,旧线束原空脚，确认驱动器后焊
电机,J_MOTOR4,2,MOTOR4_ALM_OC_RESERVED,预留,悬空,只允许开集电极
电机,J_MOTOR4,3,MOTOR4_DIR_5V,P711经AHCT244,低,兼容旧板
电机,J_MOTOR4,4,MOTOR4_STEP_5V,P810默认/P304共用备选,低,0欧二选一
电机,J_MOTOR4,5,GND,GND,,兼容旧板
电机,J_MOTOR4,6,5V_LOGIC_OPTION,5V_LOGIC经0R/DNP,悬空,旧线束原空脚，确认驱动器后焊
电机,J_MOTOR4,7,GND,GND,,兼容旧板
电机,J_MOTOR4,8,12V_MOTOR,12V输入,,兼容旧板
升降,J_LIFT,1,LIFT_EN_N_5V_OPTION,P904经AHCT244和0R/DNP,悬空,旧线束原空脚，确认驱动器后焊
升降,J_LIFT,2,LIFT_ALM_OC_RESERVED,预留,悬空,只允许开集电极
升降,J_LIFT,3,LIFT_DIR_5V,P903经AHCT244,低,独立接口
升降,J_LIFT,4,LIFT_STEP_5V,P712经AHCT244,低,独立接口
升降,J_LIFT,5,GND,GND,,
升降,J_LIFT,6,5V_LOGIC_OPTION,5V_LOGIC经0R/DNP,悬空,确认驱动器后焊
升降,J_LIFT,7,GND,GND,,
升降,J_LIFT,8,12V_MOTOR,12V输入,,
舵机,J_SERVO1,1,GND,GND,,左360度
舵机,J_SERVO1,2,SERVO1_V,JP_SERVO1,5V,5V/8.4V可选
舵机,J_SERVO1,3,SERVO1_PWM_3V3,P915直连,低,现用
舵机,J_SERVO2,1,GND,GND,,右360度
舵机,J_SERVO2,2,SERVO2_V,JP_SERVO2,5V,5V/8.4V可选
舵机,J_SERVO2,3,SERVO2_PWM_3V3,P914直连,低,现用
舵机,J_SERVO3,1,GND,GND,,270度转盘
舵机,J_SERVO3,2,SERVO3_V,JP_SERVO3,5V,5V/8.4V可选
舵机,J_SERVO3,3,SERVO3_PWM_3V3,P807直连,低,现用
舵机,J_SERVO4,1,GND,GND,,备用
舵机,J_SERVO4,2,SERVO4_V,JP_SERVO4,5V,5V/8.4V可选
舵机,J_SERVO4,3,SERVO4_PWM_3V3,P811直连,低,GPT10B备用
舵机,J_SERVO5,1,GND,GND,,备用
舵机,J_SERVO5,2,SERVO5_V,JP_SERVO5,5V,5V/8.4V可选
舵机,J_SERVO5,3,SERVO5_PWM_3V3,P812直连,低,GPT11A备用
舵机,J_SERVO6,1,GND,GND,,备用
舵机,J_SERVO6,2,SERVO6_V,JP_SERVO6,5V,5V/8.4V可选
舵机,J_SERVO6,3,SERVO6_PWM_3V3,P500直连,低,GPT11B备用
急停,J_ESTOP,1,ESTOP_LOOP_IN,硬件回路,,常闭触点
急停,J_ESTOP,2,ESTOP_LOOP_OUT,硬件回路,,常闭触点
急停,J_ESTOP,3,ESTOP_SENSE_3V3,P403,高,按下接地
急停,J_ESTOP,4,GND,GND,,软件反馈地
限位,J_LIMIT_UP,1,LIMIT_UP_3V3,P910,高,触发接地
限位,J_LIMIT_UP,2,GND,GND,,独立插座
限位,J_LIMIT_HOME,1,LIMIT_HOME_3V3,P913,高,触发接地
限位,J_LIMIT_HOME,2,GND,GND,,独立插座
称重,J_WEIGHT,1,WEIGHT_VCC,JP_WEIGHT_V,5V,3.3V/5V可选
称重,J_WEIGHT,2,GND,GND,,
称重,J_WEIGHT,3,WEIGHT_TX_TO_MODULE,P714经TXS0102,,模块RX
称重,J_WEIGHT,4,WEIGHT_RX_FROM_MODULE,P715经TXS0102,,模块TX
冗余,J_SPARE_UART6,1,3V3_RA,P9,,仅低功耗
冗余,J_SPARE_UART6,2,GND,P10,,
冗余,J_SPARE_UART6,3,SPARE_UART6_TX,P908,,3.3V TTL
冗余,J_SPARE_UART6,4,SPARE_UART6_RX,P909,,3.3V TTL
冗余,J_SPARE_I2C2,1,3V3_RA,P9,,仅低功耗
冗余,J_SPARE_I2C2,2,GND,P10,,
冗余,J_SPARE_I2C2,3,SPARE_I2C2_SDA,P514,,可选4.7k上拉
冗余,J_SPARE_I2C2,4,SPARE_I2C2_SCL,P515,,可选4.7k上拉
冗余,J_SPARE_GPIO1,1,3V3_RA,P9,,
冗余,J_SPARE_GPIO1,2,GND,P10,,
冗余,J_SPARE_GPIO1,3,SPARE_GPIO1,P801,,GPIO/IRQ
冗余,J_SPARE_GPIO2,1,3V3_RA,P9,,
冗余,J_SPARE_GPIO2,2,GND,P10,,
冗余,J_SPARE_GPIO2,3,SPARE_GPIO2,P802,,GPIO/IRQ
冗余,J_SPARE_GPIO3,1,3V3_RA,P9,,
冗余,J_SPARE_GPIO3,2,GND,P10,,
冗余,J_SPARE_GPIO3,3,SPARE_GPIO3,P804,,GPIO/IRQ
冗余,J_SPARE_ADC,1,3V3_RA,P9,,
冗余,J_SPARE_ADC,2,GND,P10,,
冗余,J_SPARE_ADC,3,SPARE_ADC_AN017,P805,,输入不得超过3.3V
