逐飞连接器,逐飞脚位,RA8P1网络,本板网络,本板用途,处理
P8,9,P700,CAM_D4,摄像头CEU数据4,经22至33欧
P8,10,P406,CAM_D3,摄像头CEU数据3,经22至33欧
P8,11,P702,CAM_D6,摄像头CEU数据6,经22至33欧
P8,12,P701,CAM_D5,摄像头CEU数据5,经22至33欧
P8,13,P414,CAM_PCLK,摄像头像素时钟,经22至33欧且最短
P8,14,P703,CAM_D7,摄像头CEU数据7,经22至33欧
P8,15,P710,NC,未使用,不走线
P8,16,P109,NC,未使用,不走线
P9,1,3V3,3V3_RA,屏幕摄像头和逻辑电源,多脚并联
P9,2,3V3,3V3_RA,屏幕摄像头和逻辑电源,多脚并联
P9,3,3V3,3V3_RA,屏幕摄像头和逻辑电源,多脚并联
P9,4,3V3,3V3_RA,屏幕摄像头和逻辑电源,多脚并联
P9,5,3V3,3V3_RA,屏幕摄像头和逻辑电源,多脚并联
P9,6,3V3,3V3_RA,屏幕摄像头和逻辑电源,多脚并联
P10,1,GND,GND,系统地,多脚并联
P10,2,GND,GND,系统地,多脚并联
P10,3,GND,GND,系统地,多脚并联
P10,4,GND,GND,系统地,多脚并联
P10,5,GND,GND,系统地,多脚并联
P10,6,GND,GND,系统地,多脚并联
P10,7,GND,GND,系统地,多脚并联
P10,8,GND,GND,系统地,多脚并联
